x	arrow-star	arrow-mst	ivy-random	localMinPairs-random
1.0	1.5	25.5	6.5	7.0
2.0	1.6666666666666667	19.666666666666668	6.0	6.666666666666667
3.0	1.75	47.5	6.25	7.25
4.0	1.8	63.2	6.2	7.2
5.0	1.8333333333333335	58.333333333333336	6.333333333333334	7.5
6.0	1.8571428571428572	60.142857142857146	6.2857142857142865	7.142857142857143
7.0	1.875	59.25	7.125000000000001	8.25
8.0	1.8888888888888888	60.888888888888886	6.888888888888889	8.222222222222221
9.0	1.9	60.099999999999994	7.300000000000001	8.5
10.0	1.909090909090909	65.18181818181817	7.000000000000001	8.090909090909092
12.0	1.923076923076923	69.3076923076923	7.076923076923078	8.153846153846153
14.0	1.9333333333333331	68.2	7.000000000000001	8.066666666666666
16.0	1.941176470588235	66.23529411764706	7.058823529411765	8.117647058823529
18.0	1.9473684210526314	63.684210526315795	6.631578947368421	7.6842105263157885
21.0	1.9545454545454544	66.04545454545455	6.636363636363636	7.681818181818181
24.0	1.9599999999999997	68.36	6.679999999999999	7.799999999999999
28.0	1.96551724137931	67.6551724137931	6.4482758620689635	7.827586206896551
32.0	1.9696969696969693	67.15151515151514	6.090909090909089	7.393939393939393
37.0	1.9736842105263155	64.49999999999999	6.1052631578947345	7.394736842105262
43.0	1.9772727272727273	68.77272727272727	6.227272727272726	7.704545454545453
49.0	1.98	70.27999999999999	6.299999999999999	7.919999999999999
57.0	1.982758620689655	71.96551724137929	6.137931034482759	7.879310344827586
65.0	1.9848484848484846	70.1363636363636	6.287878787878789	8.075757575757578
75.0	1.9868421052631575	68.32894736842101	6.223684210526317	7.934210526315792
86.0	1.9885057471264365	72.77011494252869	6.2183908045977025	7.988505747126441
99.0	1.99	71.34999999999998	6.290000000000002	8.220000000000006
114.0	1.9913043478260872	72.45217391304347	6.391304347826088	8.330434782608702
132.0	1.992481203007519	70.71428571428572	6.43609022556391	8.203007518797001
151.0	1.9934210526315788	70.26973684210527	6.4342105263157885	8.296052631578954
174.0	1.9942857142857136	68.61714285714282	6.474285714285715	8.502857142857147
200.0	1.9950248756218902	69.24378109452732	6.427860696517413	8.49751243781095
231.0	1.9956896551724135	70.87068965517238	6.4525862068965525	8.465517241379315
265.0	1.9962406015037595	70.6691729323308	6.469924812030075	8.432330827067677
305.0	1.9967320261437909	72.04575163398694	6.529411764705883	8.437908496732033
351.0	1.9971590909090904	72.30965909090914	6.465909090909093	8.372159090909088
403.0	1.9975247524752466	71.7128712871288	6.4950495049504955	8.433168316831681
464.0	1.9978494623655902	70.83655913978507	6.511827956989249	8.434408602150535
533.0	1.9981273408239697	69.34269662921353	6.486891385767792	8.337078651685395
613.0	1.9983713355048855	68.59771986970692	6.45765472312704	8.342019543973938
705.0	1.9985835694050984	68.76770538243632	6.456090651558074	8.294617563739378
811.0	1.9987684729064026	68.95566502463063	6.485221674876846	8.278325123152715
932.0	1.9989281886387973	69.41264737406223	6.483386923901393	8.184351554126474
1072.0	1.9972041006523749	69.55172413793105	6.499534016775397	8.172413793103454
1232.0	1.997566909975667	69.58799675587997	6.491484184914839	8.149229521492302
1417.0	1.9964739069111408	70.49153737658676	6.4724964739069035	8.133286318758826
1629.0	1.9957055214723924	69.90490797546008	6.5092024539877205	8.074233128834377
1873.0	1.9962646744930628	69.93916755602991	6.495731056563489	8.030416221985076
2154.0	1.9967517401392116	69.58375870069607	6.481206496519707	7.949419953596303
2477.0	1.996368038740921	70.01049233252617	6.484665052461643	7.865617433414058
2848.0	1.9961389961389966	69.47490347490334	6.481221481221458	7.863109863109871
3274.0	1.996030534351145	69.48732824427465	6.490381679389297	7.888549618320617
3764.0	1.9954847277556425	69.53970783532526	6.49003984063743	7.8738379814077115
4328.0	1.9960729960729946	69.84453684453689	6.4961884961884895	7.929313929313941
4977.0	1.9953796705504199	69.83768581759746	6.489353153877047	7.927882683808762
5722.0	1.9952821946531514	69.9575397518784	6.4937969596365415	7.934999126332339
6579.0	1.9952887537993904	70.02993920972634	6.481003039513667	7.959574468085113
7564.0	1.995109054857894	70.06080634500972	6.476404494382008	7.987574355584942
8697.0	1.9950563347896026	70.02678776730286	6.483444469993079	8.018280064382639
9999.0	1.995099999999994	70.05620000000009	6.491299999999978	8.06680000000005
11497.0	1.9953905026961196	70.13167507392586	6.498260567055106	8.111758566707284
13219.0	1.9953857791225416	70.02715582450838	6.499546142208738	8.142889561270824
15199.0	1.995592105263156	70.02440789473695	6.493157894736814	8.185657894736835
17475.0	1.99570840009155	70.03273060196832	6.493247882810694	8.228599221789855
20092.0	1.9959687453341932	69.9612302792021	6.490817697705639	8.277957497635946
23101.0	1.9958012293307885	70.05345857501577	6.491948749026025	8.345987360401637
26560.0	1.9955197469974788	69.91016904484061	6.493091374571704	8.420804939573008
30538.0	1.9959068731785599	69.92733881266615	6.491993843937216	8.470938799567735
35111.0	1.995756436545909	69.97610503531591	6.485588972431055	8.529904306220057
40370.0	1.995566124198066	69.9649748581908	6.485075920834252	8.587996334002096
46415.0	1.995841951051362	69.89031799379596	6.484251120303331	8.634738021371938
53366.0	1.9956714823767479	69.74133828021148	6.489178705941841	8.694661494931273
61359.0	1.9957464146023562	69.82408735332511	6.48958604954366	8.742975880052052
70547.0	1.9957901003572072	69.92585190225114	6.489071270624251	8.779852015648885
81113.0	1.9960919200138074	69.91393594200791	6.490235964198552	8.82186798826353
93260.0	1.996172033325829	69.90708870803537	6.488467848296727	8.87814842217017
107226.0	1.9960924021002229	69.79881000121323	6.48661251363932	8.920710268869104
123284.0	1.9960984710224197	69.797590947804	6.488802368495801	8.963653323600024
141747.0	1.9961269294804918	69.82049834918415	6.489206196912952	8.985855179614722
162974.0	1.9959564350360433	69.83980365086788	6.4868538119344725	9.01564043564978
187381.0	1.9958854105517105	69.83418898293444	6.485756369341887	9.05925862676254
215443.0	1.9959386197805495	69.80918939492405	6.485838547372004	9.081617496890095
247707.0	1.995845915351946	69.81391800022668	6.485418315113025	9.110670628320422
284803.0	1.9958603109507065	69.78621789019874	6.484185615370665	9.129285403294867
327454.0	1.9957887343299159	69.78907636163821	6.484405490830913	9.14682933532857
376493.0	1.9959282219637011	69.84476246633412	6.4841511418508935	9.166061079326726
432875.0	1.9959087590903495	69.76062890989584	6.483498738668811	9.185011412044249
497701.0	1.9959473741314935	69.73250660033543	6.484583144130504	9.195152922833522
572236.0	1.9959265129657715	69.72235280137306	6.484463605114749	9.208820820744075
657932.0	1.995897758586354	69.67184804531756	6.484277274433776	9.216029595718751
756462.0	1.9958795076559965	69.66045530316678	6.484958286129021	9.23066957670103
869748.0	1.9959540051209754	69.65480500695965	6.485180207163265	9.235741576017622
999999.0	1.9959569999999718	69.63043099999749	6.485293000000146	9.240063999999151
